truth	split	pph2_class	pph2_prob	dScore	Score1	Nobs	NormASA	dVol	dProp	Bfact	CpG	IdPmax	IdQmin	PFamHitBool
n	validation	neutral	0	-0.822	-2.778	36					0	20.240	92.03	0
n	training	neutral	0	+0.182	-3.217	85					0	9.766	92.03	0
n	training	neutral	0.149	+1.882	-2.612	86					0	2.943	92.03	1
n	training	neutral	0	-0.062	-2.878	84					0	24.183	90.44	0
n	validation	neutral	0	-0.145	-2.901	88					0	25.500	92.03	0
n	training	neutral	0	+0.048	-2.525	90					0	26.658	92.03	0
n	training	neutral	0	-0.361	-2.015	97	0.025	27	0.04	-0.76	0	24.989	92.03	1
n	training	neutral	0.003	+0.868	-1.863	97	0.857	-4	0.07	0.82	0	11.035	83.47	1
n	training	neutral	0.201	+0.789	-1.429	95	0.465	-9	0.47	0.31	0	14.575	69.12	1
n	training	neutral	0.007	+1.141	-1.906	15					0	5.218	87.31	0
n	training	neutral	0	-0.145	-2.216	15					0	22.560	87.31	0
n	training	neutral	0.007	+1.015	-2.068	15					0	7.193	87.31	0
n	training	neutral	0.435	+1.225	-1.607	43					0	3.902	77.88	0
n	training	neutral	0	-0.212	-1.972	39					0	19.201	87.31	0
n	training	deleterious	0.622	+1.264	-1.523	39					0	3.879	70.38	0
n	training	deleterious	0.997	+3.069	-1.570	38					0	0.844	77.88	0
n	training	neutral	0.003	+0.701	-1.782	94					0	19.941	81.09	0
n	validation	neutral	0.049	+1.342	-1.916	43					0	7.084	86.25	0
n	training	neutral	0	-1.116	-3.081	60					2	25.519	93.98	0
n	training	neutral	0	-0.347	-2.398	33					0	19.913	93.08	0
n	training	neutral	0.005	+0.721	-1.615	49					0	32.708	87.42	1
n	training	neutral	0.011	+0.760	-1.551	66	0.039	28	0.22	-0.63	0	22.890	93.08	1
n	training	neutral	0	+0.280	-2.086	63	0.832	-78	0.82	1.11	2	20.471	93.08	1
n	training	neutral	0.002	+0.174	-2.560	115					0	8.037	89.11	0
n	validation	neutral	0.342	+0.583	-1.883	51					0	11.651	48.32	0
n	training	neutral	0	-0.183	-2.839	101					2	25.811	89.11	0
n	validation	neutral	0.086	+0.704	-1.766	186					1	11.996	87.99	0
n	training	neutral	0	-0.098	-2.386	271	1.060	-5	1.14	0.00	0	24.689	89.11	0
n	validation	neutral	0	+0.033	-2.103	229	1.030	-51	0.7	0.00	0	21.569	87.71	0
n	training	neutral	0	-1.037	-2.711	145	0.850	-2	1.48	0.00	0	26.470	89.11	0
n	training	neutral	0	-0.529	-2.372	80	1.562	-78	0.82	0.00	2	19.596	89.11	0
n	training	neutral	0	+0.277	-2.166	84	0.670	28	0.22	0.00	0	21.775	88.55	0
n	validation	neutral	0	-0.223	-3.071	62	0.535	20	1.03	1.11	2	30.982	90.05	1
n	training	neutral	0	-0.239	-2.855	63	0.630	29	0.56	1.76	2	31.593	91.83	1
n	training	neutral	0	-0.039	-1.714	61	0.392	27	0.11	0.11	0	34.483	91.83	1
n	training	neutral	0	+0.080	-2.549	62	0.736	25	0.34	1.02	0	27.003	90.94	1
n	training	neutral	0.022	+0.469	-2.270	62	0.266	47	0.77	0.26	1	14.586	90.05	1
n	training	neutral	0	+0.047	-2.711	61	0.512	20	1.03	0.72	2	30.982	90.05	1
n	training	neutral	0.033	+0.794	-2.020	59	0.573	28	0.22	-0.88	0	8.736	88.45	1
n	training	deleterious	0.853	+1.173	-1.442	64	0.384	27	0.29	-0.79	0	9.814	49.02	1
n	training	neutral	0	-0.382	-2.429	58	0.424	-28	0.22	-0.10	0	26.599	91.83	1
n	training	deleterious	0.941	+1.071	-1.549	57	0.400	-29	0.02	-0.53	2	12.316	76.73	1
