truth	split	pph2_class	pph2_prob	dScore	Score1	Nobs	NormASA	dVol	dProp	Bfact	CpG	IdPmax	IdQmin	PFamHitBool
n	validation	neutral	0.009	+0.312	-1.517	248	0.379	-23	0.03	-0.52		34.259	91.23	1
n	training	neutral	0.27	+2.655	-1.565	248	0.483	-20	1.03	2.98		0.916	91.78	0
n	training	neutral	0.001	+0.056	-2.420	196	0.011	9	0.47	-0.65	0	33.366	94.25	1
n	training	neutral	0.002	+0.075	-1.953	195	0.012	3	0.14	-0.19	0	29.850	94.25	1
n	validation	neutral	0.006	+0.271	-2.257	196	0.008	-4	0.07	-1.07	0	15.265	94.25	1
n	training	neutral	0	-0.140	-1.730	196	0.832	23	0.25	0.97	0	46.356	93.70	1
n	training	neutral	0.004	+0.312	-1.517	196	0.426	-23	0.03	0.10	0	34.774	92.60	1
n	training	deleterious	0.988	+2.568	-1.398	195	0.303	-20	1.03	1.01	1			0
n	training	neutral	0.001	+0.056	-2.420	206	0.017	9	0.47	-0.65	0	33.269	94.25	1
n	training	neutral	0.002	+0.075	-1.953	206	0.012	3	0.14	-0.67	0	29.850	94.25	1
n	training	neutral	0.008	+0.312	-1.517	206	0.396	-23	0.03	-0.19	0	34.877	92.88	1
n	training	neutral	0.274	+2.655	-1.565	206	0.543	-20	1.03	1.82	1	0.935	93.70	0
n	training	neutral	0.001	+0.044	-2.582	62					0	26.678	84.23	0
n	training	deleterious	0.819	+1.244	-1.267	89					0	16.424	55.29	1
n	training	neutral	0.026	+0.499	-2.537	97					0	11.693	83.03	1
n	training	deleterious	0.989	+2.330	-1.582	114	0.256	-20	1.03	1.08				0
n	training	deleterious	0.989	+2.330	-1.582	116	0.256	-20	1.03	1.08				0
n	validation	neutral	0.001	-0.056	-2.476	251	0.124	-9	0.47	-0.52		20.104	93.97	1
n	training	neutral	0.002	-0.075	-2.028	251	0.006	-3	0.14	-1.02		37.281	93.97	1
n	training	neutral	0.001	+0.140	-1.590	252	0.789	-23	0.25	1.07		20.667	93.97	1
n	training	neutral	0.009	+0.312	-1.517	252	0.396	-23	0.03	-0.19		35.082	93.42	1
n	training	neutral	0	+0.168	-1.656	82	0.832	23	0.25	0.97		46.085	93.15	1
n	training	neutral	0.004	+0.083	-1.678	82	0.426	-23	0.03	0.10		31.893	84.93	1
n	training	neutral	0.001	+0.056	-2.420	235	0.011	9	0.47	-0.65	0	33.366	94.52	1
n	validation	neutral	0.002	+0.075	-1.953	234	0.012	3	0.14	-0.19	0	29.937	94.52	1
n	training	neutral	0.006	+0.279	-2.276	234	0.008	-4	0.07	-1.07	0	15.177	94.25	1
n	validation	neutral	0	-0.140	-1.730	235	0.832	23	0.25	0.97	0	46.627	94.25	1
n	training	neutral	0.004	+0.312	-1.517	235	0.426	-23	0.03	0.10	0	34.877	92.88	1
n	validation	neutral	0.404	+2.655	-1.565	234	0.303	-20	1.03	1.01	1	0.930	93.15	0
n	training	deleterious	0.988	+2.568	-1.398	224	0.303	-20	1.03	1.01				0
n	training	neutral	0.007	+0.096	-1.842	83	0.012	3	0.14	-0.67		29.590	93.42	1
n	training	neutral	0.008	+0.312	-1.517	235	0.379	-23	0.03	-0.52	0	34.568	92.05	1
